end_time,f1,f2,fight_date,method,referee,round,time_format,weightclass,winner,f1_body,f1_clinch,f1_control,f1_distance,f1_dob,f1_ground,f1_head,f1_height,f1_kd,f1_leg,f1_reach,f1_record,f1_rev,f1_sapm,f1_sig_str,f1_sig_str_%,f1_slpm,f1_stance,f1_str__acc_,f1_str__def,f1_sub__avg_,f1_sub_att,f1_td,f1_td_%,f1_td_acc_,f1_td_avg_,f1_td_def_,f1_total_str,f1_weight,f2_body,f2_clinch,f2_control,f2_distance,f2_dob,f2_ground,f2_head,f2_height,f2_kd,f2_leg,f2_reach,f2_record,f2_rev,f2_sapm,f2_sig_str,f2_sig_str_%,f2_slpm,f2_stance,f2_str__acc_,f2_str__def,f2_sub__avg_,f2_sub_att,f2_td,f2_td_%,f2_td_acc_,f2_td_avg_,f2_td_def_,f2_total_str,f2_weight,gender,year
0:49,Gabriel Bonfim,Mounir Lazzez,2023-01-21,Submission,Herb Dean,1,3,welterweight,f1,2 of 2,0 of 0,0:04,9 of 22,"Aug 20, 1997",0 of 0,6 of 18,185.42,0,1 of 2,182.88,Record: 15-1-0,0,5.25,9 of 22,40%,4.87,Orthodox,40%,59%,3.8,1,0 of 0,0,71%,4.75,100%,9 of 22,77.11,4 of 4,0 of 0,0:04,9 of 13,"Nov 16, 1987",0 of 0,0 of 4,185.42,0,5 of 5,193.04,Record: 11-3-0,0,5.42,9 of 13,69%,7.49,Orthodox,55%,53%,0.0,0,0 of 1,0%,57%,1.8,71%,9 of 13,77.11,M,2023
2:56,Jailton Almeida,Shamil Abdurakhimov,2023-01-21,KO/TKO,Fernando Portella,2,3,heavyweight,f1,0 of 0,0 of 0,7:28,1 of 5,"Jun 26, 1991",44 of 52,44 of 55,190.5,0,1 of 2,200.66,Record: 20-3-0,0,0.74,45 of 57,78%,2.54,Orthodox,64%,40%,2.2,0,3 of 5,60%,59%,6.88,75%,89 of 110,92.99,0 of 0,0 of 0,7:28,1 of 1,"Sep 02, 1981",0 of 0,1 of 1,190.5,0,0 of 0,193.04,Record: 20-8-0,0,3.02,1 of 1,100%,2.41,Orthodox,44%,55%,0.1,0,0 of 0,0,23%,1.01,45%,3 of 3,106.59,M,2023
5:00,Cody Stamann,Luan Lacerda,2023-01-21,Decision - Unanimous,Marc Goddard,3,3,bantamweight,f1,29 of 38,2 of 3,0:00,101 of 186,"Nov 09, 1989",0 of 0,62 of 139,167.64,0,12 of 12,162.56,Record: 21-6-1,0,3.63,103 of 189,54%,4.39,Orthodox,47%,62%,0.0,0,0 of 2,0%,39%,2.34,76%,108 of 195,61.23,44 of 61,0 of 0,0:00,80 of 181,"Jan 07, 1993",0 of 0,31 of 113,170.18,0,5 of 7,180.34,Record: 12-3-0,0,7.07,80 of 181,44%,4.52,Orthodox,44%,47%,0.6,0,1 of 4,25%,25%,1.26,75%,85 of 187,61.23,M,2023
2:17,Ismael Bonfim,Terrance McKinney,2023-01-21,KO/TKO,Osiris Maia,2,3,lightweight,f1,16 of 17,10 of 10,0:47,24 of 39,"Dec 28, 1995",0 of 0,16 of 30,172.72,1,2 of 2,180.34,Record: 20-4-0,0,3.16,34 of 49,69%,5.8,Orthodox,54%,70%,0.0,0,1 of 4,25%,33%,1.07,76%,38 of 53,70.31,4 of 6,0 of 2,0:47,12 of 45,"Sep 15, 1994",2 of 2,10 of 43,177.8,0,0 of 0,185.42,Record: 15-7-0,0,2.63,14 of 49,28%,4.53,Switch,50%,45%,1.0,0,0 of 2,0%,36%,3.45,85%,20 of 55,70.31,M,2023
5:00,Nicolas Dalby,Warlley Alves,2023-01-21,Decision - Split,Herb Dean,3,3,welterweight,f1,35 of 41,32 of 35,4:02,86 of 212,"Nov 16, 1984",1 of 1,75 of 195,180.34,0,9 of 12,187.96,Record: 23-4-1 (2 NC),0,3.43,119 of 248,47%,4.03,Orthodox,43%,52%,0.1,0,0 of 1,0%,30%,1.11,60%,167 of 298,77.11,7 of 12,4 of 6,4:02,62 of 138,"Jan 04, 1991",0 of 0,45 of 117,180.34,0,14 of 15,182.88,Record: 15-8-0,0,3.95,66 of 144,45%,3.04,Orthodox,48%,50%,0.8,0,1 of 3,33%,50%,1.22,62%,75 of 153,83.91,M,2023
5:00,Josiane Nunes,Zarah Fairn,2023-01-21,Decision - Unanimous,Marc Goddard,3,3,featherweight,f1,38 of 52,20 of 31,2:02,82 of 180,"Dec 23, 1993",0 of 0,58 of 150,157.48,0,6 of 9,170.18,Record: 10-2-0,0,5.25,102 of 211,48%,5.99,Southpaw,44%,53%,0.0,0,0 of 0,0,0%,0.0,58%,107 of 216,61.23,17 of 20,10 of 13,2:02,107 of 238,"Dec 10, 1983",0 of 0,89 of 220,172.72,0,11 of 11,182.88,Record: 6-6-0,0,7.4,117 of 251,46%,4.55,Orthodox,31%,45%,0.0,0,0 of 0,0,0%,0.0,60%,122 of 256,61.23,M,2023
2:18,Daniel Marcos,Saimon Oliveira,2023-01-21,KO/TKO,Fernando Portella,2,3,bantamweight,f1,20 of 23,16 of 19,1:00,36 of 58,"Mar 07, 1993",1 of 1,31 of 52,170.18,1,2 of 3,175.26,Record: 15-0-0 (1 NC),0,4.0,53 of 78,67%,5.75,Orthodox,50%,66%,0.0,0,0 of 1,0%,50%,0.33,89%,59 of 84,61.23,3 of 7,3 of 7,1:00,20 of 63,"Apr 21, 1991",0 of 0,7 of 47,162.56,0,13 of 16,182.88,Record: 18-5-0,0,3.91,23 of 70,32%,2.82,Orthodox,41%,48%,1.6,0,0 of 5,0%,25%,1.21,35%,25 of 73,61.23,M,2023
5:00,Sean Strickland,Nassourdine Imavov,2023-01-14,Decision - Unanimous,Mark Smith,5,5,light heavyweight,f1,38 of 48,7 of 9,4:12,175 of 396,"Feb 27, 1991",0 of 0,134 of 347,185.42,0,10 of 10,193.04,Record: 28-6-0,0,4.33,182 of 405,44%,5.91,Orthodox,41%,62%,0.2,0,1 of 1,100%,64%,0.85,77%,194 of 420,83.91,41 of 46,19 of 21,4:12,104 of 248,"Mar 01, 1995",0 of 0,67 of 207,190.5,0,15 of 16,190.5,Record: 13-4-0 (1 NC),0,3.26,123 of 269,45%,4.53,Orthodox,54%,61%,1.5,0,0 of 1,0%,31%,0.87,76%,131 of 277,83.91,M,2023
4:13,Dan Ige,Damon Jackson,2023-01-14,KO/TKO,Jason Herzog,2,3,featherweight,f1,13 of 15,6 of 9,0:18,28 of 65,"Aug 06, 1991",0 of 0,17 of 54,170.18,1,4 of 5,180.34,Record: 18-7-0,0,3.52,34 of 74,45%,3.76,Orthodox,45%,57%,0.3,0,1 of 1,100%,26%,1.06,58%,40 of 81,65.77,10 of 15,4 of 8,0:18,32 of 92,"Aug 08, 1988",0 of 0,22 of 81,180.34,0,4 of 4,180.34,Record: 23-6-1 (1 NC),0,3.29,36 of 100,36%,3.0,Switch,41%,51%,1.4,0,0 of 1,0%,35%,2.51,40%,38 of 102,65.77,M,2023
3:19,Roman Kopylov,Punahele Soriano,2023-01-14,KO/TKO,Kerry Hatley,2,3,middleweight,f1,14 of 15,6 of 8,0:10,76 of 120,"May 04, 1991",0 of 0,56 of 101,182.88,0,12 of 12,190.5,Record: 12-3-0,0,4.1,82 of 128,64%,4.66,Southpaw,54%,60%,0.0,0,1 of 1,100%,50%,0.42,87%,82 of 128,83.91,4 of 6,6 of 9,0:10,33 of 98,"Nov 22, 1992",0 of 0,35 of 101,180.34,0,0 of 0,182.88,Record: 9-4-0,0,4.55,39 of 107,36%,3.96,Southpaw,45%,48%,0.0,0,0 of 3,0%,40%,0.79,33%,39 of 107,77.11,M,2023
5:00,Raquel Pennington,Ketlen Vieira,2023-01-14,Decision - Split,Chris Tognoni,3,3,bantamweight,f1,32 of 35,22 of 25,1:18,59 of 134,"Sep 05, 1988",0 of 0,37 of 111,170.18,0,12 of 13,170.18,Record: 16-9-0,0,3.29,81 of 159,50%,4.14,Orthodox,52%,60%,0.7,0,0 of 2,0%,27%,0.9,63%,104 of 184,61.23,5 of 10,8 of 9,1:18,56 of 143,"Aug 26, 1991",0 of 0,41 of 122,172.72,0,18 of 20,172.72,Record: 14-3-0,0,3.92,64 of 152,42%,3.04,Orthodox,41%,51%,0.6,0,0 of 0,0,44%,1.51,92%,138 of 230,61.23,M,2023
4:40,Umar Nurmagomedov,Raoni Barcelos,2023-01-14,KO/TKO,Jason Herzog,1,3,bantamweight,f1,12 of 13,0 of 0,0:02,35 of 50,"Jan 03, 1996",1 of 1,20 of 32,172.72,1,4 of 6,175.26,Record: 17-0-0,0,0.56,36 of 51,70%,4.75,Orthodox,69%,76%,0.6,0,0 of 0,0,56%,4.51,100%,36 of 51,61.23,5 of 5,3 of 3,0:02,10 of 21,"May 01, 1987",0 of 0,6 of 17,170.18,0,2 of 2,170.18,Record: 18-5-0,0,4.79,13 of 24,54%,5.22,Orthodox,51%,61%,0.6,0,0 of 1,0%,32%,1.86,85%,14 of 25,61.23,M,2023
5:00,Javid Basharat,Mateus Mendonca,2023-01-14,Decision - Unanimous,Chris Tognoni,3,3,bantamweight,f1,25 of 28,10 of 14,5:19,60 of 90,"Sep 07, 1995",25 of 26,62 of 93,175.26,0,8 of 9,175.26,Record: 14-1-0 (1 NC),0,2.97,95 of 130,73%,5.42,Orthodox,53%,62%,0.2,0,3 of 5,60%,40%,1.7,85%,125 of 164,61.23,3 of 6,2 of 2,5:19,25 of 83,"Jan 17, 1999",2 of 3,21 of 72,167.64,0,5 of 10,180.34,Record: 10-3-0,0,4.14,29 of 88,32%,1.66,Orthodox,40%,30%,0.4,0,2 of 11,18%,27%,2.54,55%,70 of 133,56.7,M,2023
0:28,Abdul Razak Alhassan,Claudio Ribeiro,2023-01-14,KO/TKO,Mark Smith,2,3,middleweight,f1,4 of 4,8 of 8,3:08,9 of 20,"Aug 11, 1985",0 of 0,13 of 24,177.8,1,0 of 0,185.42,Record: 12-6-0,0,3.99,17 of 28,60%,3.37,Orthodox,48%,55%,0.2,0,0 of 2,0%,38%,0.89,50%,30 of 41,83.91,3 of 3,2 of 2,3:08,17 of 29,"Jul 17, 1992",0 of 0,6 of 18,185.42,0,10 of 10,195.58,Record: 11-5-0,0,4.9,19 of 31,61%,3.59,Orthodox,51%,30%,0.0,0,0 of 0,0,50%,0.56,66%,42 of 54,83.91,M,2023
5:00,Mateusz Rebecki,Nick Fiore,2023-01-14,Decision - Unanimous,Kerry Hatley,3,3,lightweight,f1,27 of 37,4 of 10,8:27,63 of 138,"Nov 03, 1992",22 of 23,53 of 125,170.18,0,9 of 9,167.64,Record: 19-2-0,0,4.15,89 of 171,52%,4.69,Southpaw,48%,54%,1.0,0,3 of 4,75%,75%,4.12,33%,130 of 228,70.31,7 of 13,5 of 9,8:27,28 of 83,"Dec 10, 1997",1 of 1,25 of 76,177.8,0,2 of 4,182.88,Record: 6-2-0,0,7.93,34 of 93,36%,2.83,Orthodox,46%,42%,0.0,0,1 of 3,33%,45%,2.5,71%,52 of 113,70.31,M,2023
3:16,Allan Nascimento,Carlos Hernandez,2023-01-14,Submission,Jason Herzog,1,3,flyweight,f1,2 of 3,0 of 0,2:23,6 of 11,"Sep 11, 1991",0 of 0,2 of 5,172.72,0,2 of 3,175.26,Record: 20-6-0,0,2.28,6 of 11,54%,3.21,Orthodox,61%,50%,0.9,1,2 of 4,50%,26%,1.55,16%,9 of 14,56.7,1 of 2,0 of 0,2:23,3 of 7,"Oct 25, 1993",0 of 0,2 of 5,172.72,0,0 of 0,170.18,Record: 9-3-0,0,4.54,3 of 7,42%,4.95,Orthodox,46%,46%,0.3,0,0 of 0,0,15%,1.11,65%,3 of 7,56.7,M,2023
5:00,Dan Argueta,Nick Aguirre,2023-01-14,Decision - Unanimous,Mark Smith,3,3,featherweight,f1,9 of 10,6 of 9,10:14,27 of 55,"Aug 13, 1993",14 of 21,29 of 65,170.18,0,9 of 10,172.72,Record: 9-2-0 (2 NC),1,1.9,47 of 85,55%,2.18,Southpaw,45%,51%,1.6,2,4 of 6,66%,48%,4.45,57%,93 of 144,61.23,0 of 1,1 of 2,10:14,13 of 42,"Jan 15, 1996",0 of 0,14 of 42,175.26,0,0 of 1,187.96,Record: 7-2-0,1,2.89,14 of 44,31%,0.73,Southpaw,33%,45%,0.6,1,0 of 0,0,20%,1.16,33%,15 of 47,61.23,M,2023
4:33,Charles Johnson,Jimmy Flick,2023-01-14,KO/TKO,Kerry Hatley,1,3,flyweight,f1,10 of 14,0 of 0,1:39,22 of 38,"Jan 10, 1991",12 of 19,20 of 39,175.26,0,4 of 4,177.8,Record: 15-6-0,1,3.16,34 of 57,59%,4.48,Switch,52%,59%,0.6,0,0 of 0,0,23%,0.41,67%,44 of 77,56.7,3 of 4,0 of 0,1:39,7 of 13,"Sep 07, 1990",0 of 0,3 of 6,170.18,0,1 of 3,172.72,Record: 17-7-0,0,5.2,7 of 13,53%,1.7,Orthodox,50%,40%,5.4,0,1 of 3,33%,26%,1.79,0%,7 of 13,56.7,M,2023
5:00,Jared Cannonier,Sean Strickland,2022-12-17,Decision - Split,Herb Dean,5,5,middleweight,f1,60 of 88,0 of 0,0:00,141 of 310,"Mar 16, 1984",0 of 0,57 of 187,180.34,0,24 of 35,195.58,Record: 17-6-0,0,4.13,141 of 310,45%,4.68,Switch,52%,59%,0.0,0,0 of 0,0,42%,0.44,63%,141 of 310,83.91,24 of 32,0 of 0,0:00,152 of 400,"Feb 27, 1991",0 of 0,126 of 365,185.42,0,2 of 3,193.04,Record: 28-6-0,0,4.33,152 of 400,38%,5.91,Orthodox,41%,62%,0.2,0,1 of 1,100%,64%,0.85,77%,157 of 410,83.91,M,2022
5:00,Arman Tsarukyan,Damir Ismagulov,2022-12-17,Decision - Unanimous,Mark Smith,3,3,lightweight,f1,12 of 15,2 of 4,9:25,31 of 76,"Oct 11, 1996",1 of 1,14 of 57,170.18,0,8 of 9,182.88,Record: 22-3-0,0,1.84,34 of 81,41%,3.79,Orthodox,48%,53%,0.0,0,7 of 21,33%,37%,3.25,75%,50 of 105,70.31,15 of 21,10 of 11,9:25,26 of 74,"Feb 03, 1991",0 of 1,18 of 60,177.8,0,3 of 5,187.96,Record: 24-3-0,0,2.44,36 of 86,41%,3.36,Orthodox,42%,61%,0.0,0,0 of 0,0,28%,1.0,70%,51 of 106,70.31,M,2022
2:13,Amir Albazi,Alessandro Costa,2022-12-17,KO/TKO,Keith Peterson,3,3,flyweight,f1,10 of 10,0 of 0,5:54,23 of 58,"Oct 27, 1993",14 of 23,23 of 67,165.1,2,4 of 4,172.72,Record: 17-1-0,0,3.07,37 of 81,45%,2.8,Orthodox,39%,63%,0.7,0,1 of 4,25%,33%,1.71,40%,62 of 110,56.7,6 of 10,1 of 1,5:54,16 of 70,"Jan 28, 1996",0 of 0,6 of 55,162.56,0,5 of 6,170.18,Record: 14-4-0,0,3.5,17 of 71,23%,4.14,Orthodox,47%,57%,0.0,0,0 of 0,0,12%,0.27,90%,38 of 107,56.7,M,2022
3:04,Alex Caceres,Julian Erosa,2022-12-17,KO/TKO,Herb Dean,1,3,featherweight,f1,3 of 6,0 of 0,0:05,13 of 24,"Jun 20, 1988",3 of 6,9 of 19,177.8,1,4 of 5,185.42,Record: 21-15-0 (1 NC),0,3.09,16 of 30,53%,4.21,Southpaw,49%,62%,0.7,0,0 of 0,0,68%,0.54,64%,16 of 30,65.77,3 of 4,0 of 0,0:05,10 of 22,"Jul 31, 1989",0 of 0,2 of 11,185.42,0,5 of 7,187.96,Record: 29-12-0,0,6.29,10 of 22,45%,6.14,Southpaw,48%,47%,0.8,0,0 of 0,0,46%,1.63,58%,10 of 22,65.77,M,2022
2:45,Drew Dober,Bobby Green,2022-12-17,KO/TKO,Keith Peterson,2,3,lightweight,f1,9 of 21,0 of 1,0:07,33 of 119,"Oct 19, 1988",1 of 1,16 of 86,172.72,1,9 of 14,177.8,Record: 27-13-0 (1 NC),0,4.23,34 of 121,28%,4.34,Southpaw,40%,51%,0.1,0,0 of 1,0%,18%,0.71,56%,34 of 121,70.31,17 of 22,1 of 1,0:07,72 of 141,"Sep 09, 1986",0 of 0,50 of 113,177.8,0,6 of 7,180.34,Record: 32-15-1 (1 NC),0,3.75,73 of 142,51%,6.45,Orthodox,52%,62%,0.3,0,0 of 1,0%,38%,1.19,74%,75 of 145,70.31,M,2022
3:16,Michal Oleksiejczuk,Cody Brundage,2022-12-17,KO/TKO,Mark Smith,1,3,middleweight,f1,2 of 2,0 of 0,1:12,0 of 1,"Feb 22, 1995",15 of 28,13 of 27,182.88,0,0 of 0,187.96,Record: 19-7-0 (1 NC),1,4.26,15 of 29,51%,5.06,Southpaw,50%,61%,0.0,0,0 of 0,0,44%,0.75,48%,25 of 40,83.91,0 of 0,0 of 0,1:12,0 of 2,"May 16, 1994",0 of 0,0 of 2,182.88,0,0 of 0,182.88,Record: 10-6-0,0,2.3,0 of 2,0%,1.62,Orthodox,54%,43%,0.9,0,3 of 3,100%,52%,2.33,68%,1 of 3,83.91,M,2022
5:00,Cory McKenna,Cheyanne Vlismas,2022-12-17,Decision - Unanimous,Chris Tognoni,3,3,strawweight,f1,3 of 7,2 of 3,9:41,18 of 76,"Jul 11, 1999",2 of 2,17 of 72,160.02,0,2 of 2,147.32,Record: 8-3-0,0,3.19,22 of 81,27%,3.0,Orthodox,40%,48%,0.4,0,2 of 3,66%,58%,2.22,71%,103 of 216,52.16,8 of 13,3 of 3,9:41,23 of 63,"Jun 25, 1995",7 of 8,20 of 54,160.02,0,5 of 7,160.02,Record: 7-3-0,0,2.57,33 of 74,44%,4.93,Switch,50%,64%,0.2,1,0 of 0,0,33%,0.25,66%,66 of 113,52.16,M,2022
5:00,Matthew Semelsberger,Jake Matthews,2022-12-17,Decision - Unanimous,Herb Dean,3,3,welterweight,f1,7 of 18,6 of 7,4:16,26 of 80,"Nov 23, 1992",13 of 29,34 of 89,185.42,3,4 of 9,190.5,Record: 11-7-0,0,4.21,45 of 116,38%,3.78,Switch,43%,54%,0.4,0,3 of 5,60%,57%,1.02,45%,54 of 129,77.11,6 of 9,2 of 3,4:16,30 of 85,"Aug 19, 1994",0 of 1,23 of 77,180.34,0,3 of 3,185.42,Record: 19-7-0,0,2.56,32 of 89,35%,3.3,Orthodox,45%,60%,0.6,1,1 of 2,50%,40%,1.59,62%,74 of 140,77.11,M,2022
3:50,Said Nurmagomedov,Saidyokub Kakhramonov,2022-12-17,Submission,Keith Peterson,2,3,bantamweight,f1,3 of 5,4 of 6,0:25,3 of 12,"Apr 05, 1992",0 of 0,3 of 12,172.72,0,1 of 1,177.8,Record: 18-3-0,0,2.13,7 of 18,38%,3.55,Orthodox,47%,57%,1.4,3,0 of 2,0%,16%,1.01,66%,21 of 34,61.23,3 of 3,0 of 1,0:25,5 of 10,"Nov 14, 1995",6 of 19,8 of 27,172.72,0,0 of 0,175.26,Record: 10-3-0,0,0.88,11 of 30,36%,2.05,Orthodox,51%,58%,1.9,1,5 of 12,41%,48%,6.63,83%,32 of 65,61.23,M,2022
5:00,Rafa Garcia,Maheshate,2022-12-17,Decision - Unanimous,Mark Smith,3,3,lightweight,f1,11 of 17,11 of 13,6:10,28 of 64,"Aug 05, 1994",10 of 21,29 of 70,170.18,0,9 of 11,177.8,Record: 16-3-0,0,4.21,49 of 98,50%,4.19,Orthodox,42%,61%,0.3,0,6 of 11,54%,44%,3.61,79%,79 of 138,70.31,8 of 29,1 of 2,6:10,23 of 138,"Dec 01, 1999",1 of 1,16 of 110,182.88,0,1 of 2,180.34,Record: 10-3-0,0,5.76,25 of 141,17%,3.9,Orthodox,28%,53%,0.0,0,0 of 0,0,0%,0.0,45%,30 of 148,70.31,M,2022
