event_name,date,location,url
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/4a35913bd9aa4161
UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/9114c8ded5ccd71d
UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/6597b611f1c32555
UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c36e1f4fa755ffb4
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/8c90c1563972e44d
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/6e2b1d631832921d
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/81b57acd6975ac06
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bfe95ec546692b13
UFC 258: Usman vs. Burns,"February 13, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3f7c14c7eca7195d
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a1153013cb5f628f
UFC 257: Poirier vs. McGregor,"January 23, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/4304992c2acc187b
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/56116537d71a578c
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/307064d3e0f036c2
UFC Fight Night: Thompson vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e49c2db95e572dc8
UFC 256: Figueiredo vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/d0d43cb9b14f231c
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/398b440e73d55b8b
UFC Fight Night: Smith vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/992c82450d96f726
UFC 255: Figueiredo vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bbb15f301e4a490a
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3bc27ec15facbcf3
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/41dca66f9dadfc86
UFC Fight Night: Hall vs. Silva,"October 31, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/ad044be25c94dcfd
UFC 254: Khabib vs. Gaethje,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/c3c38c86f5ab9b5c
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/d4f364dd076bb0e2
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/fd4578cac86d75ca
