method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Submission,Mike Beltran,featherweight,f1,David Onama,Garrett Armfield,3.53,2.56,40.28,29.17,2.56,3.53,70.83,59.72,3.65,0.0,33,0,100,67,0.12,0.0,180.34,167.64,65.77,61.23,187.96,177.8,Orthodox,Orthodox
KO/TKO,Mark Smith,light heavyweight,f1,Kennedy Nzechukwu,Karl Roberson,1.62,0.73,46.51,47.37,0.73,1.62,52.63,53.49,6.09,0.0,71,0,100,29,0.08,0.0,195.58,185.42,92.99,92.99,210.82,187.96,Southpaw,Southpaw
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Saidyokub Kakhramonov,Ronnie Lawrence,2.13,1.0,54.24,45.45,1.0,2.13,54.55,45.76,10.0,1.0,62,50,50,38,0.0,0.0,172.72,172.72,61.23,61.23,175.26,172.72,Orthodox,Switch
Decision - Unanimous,Herb Dean,middleweight,f1,Israel Adesanya,Jared Cannonier,4.64,3.6,50.43,57.32,3.6,4.64,42.68,49.57,0.0,0.0,0,0,100,100,0.0,0.0,193.04,180.34,83.91,83.91,203.2,195.58,Switch,Switch
Decision - Unanimous,Marc Goddard,featherweight,f1,Alexander Volkanovski,Max Holloway,7.96,5.08,53.49,42.19,5.08,7.96,57.81,46.51,0.0,0.0,0,0,100,100,0.0,0.0,167.64,180.34,65.77,65.77,180.34,175.26,Orthodox,Orthodox
KO/TKO,Jason Herzog,middleweight,f1,Alex Pereira,Sean Strickland,9.62,5.77,62.5,51.72,5.77,9.62,48.28,37.5,0.0,0.0,0,0,100,100,0.0,0.0,193.04,185.42,92.99,83.91,200.66,193.04,Orthodox,Orthodox
KO/TKO,Mark Smith,welterweight,f1,Bryan Barberena,Robbie Lawler,15.03,8.28,46.52,57.45,8.28,15.03,42.55,53.48,0.0,0.0,0,0,100,100,0.0,0.0,182.88,180.34,83.91,77.11,182.88,187.96,Southpaw,Southpaw
Submission,Marc Goddard,lightweight,f1,Jalin Turner,Brad Riddell,4.0,2.67,60.0,66.67,2.67,4.0,33.33,40.0,0.0,0.0,0,0,100,100,1.33,0.0,190.5,170.18,70.31,70.31,195.58,180.34,Southpaw,Orthodox
Submission,Mark Smith,welterweight,f1,Jim Miller,Donald Cerrone,3.67,3.21,66.67,63.64,3.21,3.67,36.36,33.33,2.3,0.0,100,0,100,0,0.15,0.0,172.72,185.42,70.31,70.31,180.34,185.42,Southpaw,Orthodox
Decision - Unanimous,Chris Tognoni,welterweight,f1,Ian Machado Garry,Gabe Green,7.73,6.0,60.1,46.15,6.0,7.73,53.85,39.9,1.0,1.0,50,25,75,50,0.0,0.0,190.5,177.8,77.11,70.31,187.96,185.42,Orthodox,Switch
Decision - Unanimous,Mark Smith,middleweight,f1,Dricus Du Plessis,Brad Tavares,7.53,5.47,53.3,54.67,5.47,7.53,45.33,46.7,0.0,0.0,0,0,100,100,0.0,0.0,185.42,185.42,83.91,83.91,193.04,187.96,Switch,Orthodox
Decision - Unanimous,Herb Dean,middleweight,f1,Andre Muniz,Uriah Hall,1.13,0.4,43.59,23.08,0.4,1.13,76.92,56.41,4.0,0.0,40,0,100,60,0.0,0.0,185.42,182.88,83.91,83.91,198.12,200.66,Southpaw,Orthodox
Decision - Unanimous,Jason Herzog,flyweight,f1,Maycee Barber,Jessica Eye,4.2,2.33,64.95,56.45,2.33,4.2,43.55,35.05,0.0,1.0,0,25,75,100,0.0,0.0,165.1,167.64,56.7,56.7,165.1,167.64,Switch,Orthodox
Submission,Chris Tognoni,bantamweight,f1,Julija Stoliarenko,Jessica-Rose Clark,8.57,12.86,66.67,56.25,12.86,8.57,43.75,33.33,21.43,0.0,100,0,100,0,1.43,0.0,170.18,165.1,56.7,61.23,167.64,162.56,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,lightweight,f1,Mateusz Gamrot,Arman Tsarukyan,3.24,3.8,58.7,38.46,3.8,3.24,61.54,41.3,3.6,0.6,28,12,88,72,0.0,0.0,177.8,170.18,70.31,70.31,177.8,182.88,Southpaw,Orthodox
Submission,Chris Tognoni,welterweight,f1,Shavkat Rakhmonov,Neil Magny,1.91,1.1,52.78,50.0,1.1,1.91,50.0,47.22,3.01,0.0,100,0,100,0,0.1,0.0,185.42,190.5,77.11,77.11,195.58,203.2,Orthodox,Orthodox
KO/TKO,Mark Smith,heavyweight,f1,Josh Parisian,Alan Baudot,5.21,6.07,61.76,65.33,6.07,5.21,34.67,38.24,5.58,0.0,75,0,100,25,0.0,0.0,193.04,190.5,120.2,110.22,200.66,200.66,Orthodox,Orthodox
Submission,Herb Dean,lightweight,f1,Thiago Moises,Christos Giagos,0.97,0.65,75.0,40.0,0.65,0.97,60.0,25.0,4.86,0.0,50,0,100,50,0.32,0.0,175.26,177.8,70.31,70.31,177.8,180.34,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,bantamweight,f1,Umar Nurmagomedov,Nate Maness,4.93,0.13,74.0,10.0,0.13,4.93,90.0,26.0,3.0,0.0,75,0,100,25,0.0,0.0,172.72,177.8,61.23,56.7,175.26,182.88,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,middleweight,f1,Chris Curtis,Rodolfo Vieira,7.27,5.73,62.64,59.31,5.73,7.27,40.69,37.36,0.0,0.0,0,0,100,100,0.0,0.0,177.8,182.88,83.91,83.91,190.5,185.42,Orthodox,Orthodox
KO/TKO,Herb Dean,light heavyweight,f1,Carlos Ulberg,Tafon Nchukwi,12.0,2.4,78.95,75.0,2.4,12.0,25.0,21.05,0.0,0.0,0,0,100,100,0.0,0.0,193.04,182.88,92.99,83.91,195.58,195.58,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,featherweight,f1,Shayilan Nuerdanbieke,TJ Brown,3.13,2.8,59.49,42.42,2.8,3.13,57.58,40.51,3.0,1.0,50,50,50,50,0.0,0.27,172.72,175.26,65.77,65.77,175.26,182.88,Orthodox,Switch
Decision - Unanimous,Jason Herzog,bantamweight,f1,Sergey Morozov,Raulian Paiva,4.53,4.2,53.54,44.37,4.2,4.53,55.63,46.46,2.0,1.0,15,25,75,85,0.0,0.0,167.64,172.72,61.23,61.23,170.18,175.26,Orthodox,Orthodox
KO/TKO,Mark Smith,flyweight,f1,Cody Durden,JP Buys,20.29,6.18,76.67,63.64,6.18,20.29,36.36,23.33,0.0,0.0,0,0,100,100,0.0,0.0,170.18,165.1,56.7,61.23,170.18,170.18,Southpaw,Orthodox
Submission,Herb Dean,bantamweight,f1,Mario Bautista,Brian Kelleher,2.45,0.82,35.29,66.67,0.82,2.45,33.33,64.71,12.24,0.0,100,0,100,0,0.41,0.0,175.26,167.64,61.23,61.23,175.26,167.64,Switch,Switch
Decision - Split,Chris Tognoni,strawweight,f1,Vanessa Demopoulos,Jinh Yu Frey,4.4,4.13,47.48,46.62,4.13,4.4,53.38,52.52,1.0,0.0,14,0,100,86,0.0,0.0,157.48,160.02,52.16,52.16,149.86,165.1,Orthodox,Southpaw
Decision - Split,Herb Dean,featherweight,f1,Josh Emmett,Calvin Kattar,4.28,5.2,32.23,34.67,5.2,4.28,65.33,67.77,0.0,0.0,0,0,100,100,0.0,0.0,167.64,180.34,65.77,65.77,177.8,182.88,Orthodox,Orthodox
Submission,Kerry Hatley,welterweight,f1,Kevin Holland,Tim Means,5.57,3.25,40.0,45.65,3.25,5.57,54.35,60.0,0.0,4.64,0,40,60,100,0.15,0.0,190.5,187.96,83.91,77.11,205.74,190.5,Orthodox,Orthodox
KO/TKO,Jacob Montalvo,middleweight,f1,Joaquin Buckley,Albert Duraev,2.7,1.0,25.71,20.0,1.0,2.7,80.0,74.29,0.0,3.0,0,22,78,100,0.0,0.0,177.8,180.34,77.11,83.91,193.04,190.5,Southpaw,Orthodox
Decision - Split,Herb Dean,lightweight,f1,Damir Ismagulov,Guram Kutateladze,5.27,5.2,41.15,41.71,5.2,5.27,58.29,58.85,0.0,1.0,0,14,86,100,0.0,0.0,177.8,180.34,70.31,70.31,187.96,182.88,Orthodox,Orthodox
KO/TKO,Mike Beltran,middleweight,f1,Gregory Rodrigues,Julian Marquez,14.85,3.94,68.06,30.95,3.94,14.85,69.05,31.94,0.0,0.0,0,0,100,100,0.0,0.0,190.5,187.96,83.91,83.91,190.5,182.88,Orthodox,Orthodox
KO/TKO,Kerry Hatley,bantamweight,f1,Adrian Yanez,Tony Kelley,9.17,5.24,52.24,40.82,5.24,9.17,59.18,47.76,0.0,0.0,0,0,100,100,0.0,0.0,170.18,175.26,61.23,61.23,177.8,177.8,Orthodox,Switch
Decision - Unanimous,Jacob Montalvo,flyweight,f1,Natalia Silva,Jasmine Jasudavicius,6.4,2.07,51.89,30.69,2.07,6.4,69.31,48.11,2.0,0.0,66,0,100,34,0.0,0.0,162.56,170.18,56.7,56.7,165.1,172.72,Southpaw,Orthodox
KO/TKO,Herb Dean,welterweight,f1,Jeremiah Wells,Court McGee,4.47,1.91,43.75,37.5,1.91,4.47,62.5,56.25,0.0,0.0,0,0,100,100,0.0,0.0,175.26,180.34,77.11,77.11,187.96,190.5,Switch,Orthodox
KO/TKO,Mike Beltran,featherweight,f1,Ricardo Ramos,Danny Chavez,3.33,2.5,28.57,33.33,2.5,3.33,66.67,71.43,0.0,0.0,0,0,100,100,0.0,0.0,175.26,172.72,65.77,65.77,182.88,170.18,Orthodox,Orthodox
Decision - Split,Kerry Hatley,strawweight,f1,Maria Oliveira,Gloria de Paula,6.4,7.0,32.32,55.26,7.0,6.4,44.74,67.68,2.0,2.0,50,66,34,50,0.0,0.0,167.64,165.1,52.16,52.16,175.26,170.18,Orthodox,Orthodox
KO/TKO,Jacob Montalvo,bantamweight,f1,Cody Stamann,Eddie Wineland,27.46,3.05,71.05,42.86,3.05,27.46,57.14,28.95,0.0,0.0,0,0,100,100,0.0,0.0,167.64,170.18,61.23,61.23,162.56,175.26,Orthodox,Orthodox
KO/TKO,Herb Dean,middleweight,f1,Phil Hawes,Deron Winn,12.53,3.4,67.43,28.83,3.4,12.53,71.17,32.57,1.59,0.0,33,0,100,67,0.0,0.0,182.88,167.64,83.91,83.91,195.58,177.8,Orthodox,Orthodox
KO/TKO,Mike Beltran,middleweight,f1,Roman Dolidze,Kyle Daukaus,6.58,3.29,53.33,44.44,3.29,6.58,55.56,46.67,0.0,0.0,0,0,100,100,0.0,0.0,187.96,190.5,83.91,83.91,193.04,193.04,Orthodox,Southpaw
Submission,Marc Goddard,light heavyweight,f1,Jiri Prochazka,Glover Teixeira,4.89,4.52,58.54,68.94,4.52,4.89,31.06,41.46,0.0,3.06,0,29,71,100,0.04,0.04,190.5,187.96,92.99,92.99,203.2,193.04,Orthodox,Orthodox
Decision - Split,Jason Herzog,flyweight,f1,Valentina Shevchenko,Taila Santos,3.08,2.2,55.4,53.92,2.2,3.08,46.08,44.6,1.8,1.8,60,100,0,40,0.04,0.12,165.1,167.64,56.7,56.7,167.64,172.72,Southpaw,Orthodox
KO/TKO,Marc Goddard,strawweight,f1,Zhang Weili,Joanna Jedrzejczyk,9.24,5.76,67.65,50.59,5.76,9.24,49.41,32.35,6.03,0.0,50,0,100,50,0.0,0.0,162.56,167.64,52.16,52.16,160.02,165.1,Switch,Orthodox
KO/TKO,Jason Herzog,welterweight,f1,Jake Matthews,Andre Fialho,6.35,2.43,52.81,35.29,2.43,6.35,64.71,47.19,0.0,0.0,0,0,100,100,0.0,0.0,180.34,182.88,77.11,77.11,185.42,187.96,Orthodox,Orthodox
KO/TKO,John Sharp,welterweight,f1,Jack Della Maddalena,Ramazan Emeev,7.11,2.76,50.0,29.17,2.76,7.11,70.83,50.0,0.0,5.92,0,50,50,100,0.0,0.39,180.34,177.8,77.11,77.11,185.42,193.04,Switch,Southpaw
Decision - Split,Steve Perceval,featherweight,f1,Josh Culibao,SeungWoo Choi,3.4,3.07,45.95,28.22,3.07,3.4,71.78,54.05,0.0,1.0,0,50,50,100,0.0,0.0,177.8,182.88,65.77,65.77,185.42,187.96,Orthodox,Orthodox
KO/TKO,Marc Goddard,lightweight,f1,Maheshate,Steve Garcia,5.68,5.68,70.0,36.84,5.68,5.68,63.16,30.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,182.88,70.31,70.31,180.34,190.5,Orthodox,Southpaw
Decision - Unanimous,Jason Herzog,middleweight,f1,Brendan Allen,Jacob Malkoun,3.0,2.2,60.81,60.0,2.2,3.0,40.0,39.19,2.0,7.0,100,50,50,0,0.0,0.0,187.96,175.26,83.91,83.91,190.5,185.42,Orthodox,Orthodox
Decision - Unanimous,Thomas Fan,bantamweight,f1,Kyung Ho Kang,Batgerel Danaa,6.67,7.27,64.52,38.38,7.27,6.67,61.62,35.48,0.0,0.0,0,0,100,100,0.0,0.0,175.26,170.18,61.23,61.23,185.42,177.8,Orthodox,Orthodox
KO/TKO,Steve Perceval,strawweight,f1,Silvana Gomez Juarez,Liang Na,5.85,2.93,66.67,23.53,2.93,5.85,76.47,33.33,0.0,0.0,0,0,100,100,0.0,0.0,160.02,165.1,52.16,56.7,165.1,170.18,Orthodox,Orthodox
Decision - Unanimous,John Sharp,featherweight,f1,Joselyne Edwards,Ramona Pascual,10.93,4.2,61.19,57.8,4.2,10.93,42.2,38.81,0.0,1.0,0,9,91,100,0.0,0.0,172.72,170.18,61.23,61.23,177.8,167.64,Orthodox,Southpaw
KO/TKO,Herb Dean,heavyweight,f1,Alexander Volkov,Jairzinho Rozenstruik,9.55,2.73,56.76,33.33,2.73,9.55,66.67,43.24,0.0,0.0,0,0,100,100,0.0,0.0,200.66,187.96,113.4,109.77,203.2,198.12,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,featherweight,f1,Movsar Evloev,Dan Ige,4.53,2.8,52.71,39.62,2.8,4.53,60.38,47.29,9.0,0.0,56,0,100,44,0.0,0.0,170.18,170.18,65.77,65.77,182.88,180.34,Orthodox,Orthodox
KO/TKO,Mark Smith,featherweight,f1,Lucas Almeida,Michael Trizano,6.87,2.84,49.34,50.0,2.84,6.87,50.0,50.66,0.0,0.0,0,0,100,100,0.0,0.0,180.34,180.34,65.77,65.77,180.34,180.34,Orthodox,Orthodox
Submission,Chris Tognoni,flyweight,f1,Karine Silva,Poliana Botelho,3.46,3.86,25.0,73.08,3.86,3.46,26.92,75.0,3.05,0.0,100,0,100,0,0.2,0.0,165.1,172.72,56.7,56.7,170.18,170.18,Orthodox,Orthodox
KO/TKO,Keith Peterson,flyweight,f1,Ode Osbourne,Zarrukh Adashev,6.89,6.89,46.67,53.85,6.89,6.89,46.15,53.33,0.0,0.0,0,0,100,100,0.0,0.0,170.18,165.1,56.7,56.7,185.42,165.1,Southpaw,Southpaw
KO/TKO,Herb Dean,light heavyweight,f1,Alonzo Menifield,Askar Mozharov,4.07,0.43,86.36,18.18,0.43,4.07,81.82,13.64,6.43,0.0,66,0,100,34,0.0,0.0,182.88,190.5,92.99,92.99,193.04,187.96,Orthodox,Orthodox
Submission,Mark Smith,strawweight,f1,Karolina Kowalkiewicz,Felice Herrig,9.09,6.1,66.67,45.08,6.1,9.09,54.92,33.33,0.0,0.0,0,0,100,100,0.22,0.0,160.02,162.56,52.16,52.16,162.56,165.1,Orthodox,Orthodox
Decision - Split,Chris Tognoni,lightweight,f1,Joe Solecki,Alex Da Silva,2.2,2.33,40.24,46.05,2.33,2.2,53.95,59.76,1.0,0.0,25,0,100,75,0.2,0.0,175.26,172.72,70.31,70.31,177.8,185.42,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,featherweight,f1,Damon Jackson,Dan Argueta,2.13,1.8,60.38,45.76,1.8,2.13,54.24,39.62,2.0,1.0,50,33,67,50,0.07,0.0,180.34,170.18,65.77,61.23,180.34,172.72,Switch,Southpaw
Submission,Mark Smith,lightweight,f1,Benoit Saint Denis,Niklas Stolze,1.22,1.68,80.0,78.57,1.68,1.22,21.43,20.0,6.89,0.0,60,0,100,40,0.31,0.15,180.34,185.42,70.31,70.31,185.42,187.96,Southpaw,Switch
KO/TKO,Chris Tognoni,bantamweight,f1,Tony Gravely,Johnny Munoz,4.41,1.76,33.33,28.57,1.76,4.41,71.43,66.67,0.0,0.0,0,0,100,100,0.0,0.0,165.1,175.26,61.23,61.23,175.26,180.34,Orthodox,Orthodox
Decision - Split,Herb Dean,flyweight,f1,Jeff Molina,Zhalgas Zhumagulov,3.73,2.47,37.84,33.04,2.47,3.73,66.96,62.16,0.0,2.0,0,15,85,100,0.0,0.0,167.64,162.56,56.7,56.7,175.26,167.64,Orthodox,Switch
Decision - Unanimous,Mark Smith,welterweight,f1,Rinat Fakhretdinov,Andreas Michailidis,3.0,1.2,73.77,54.55,1.2,3.0,45.45,26.23,5.0,0.0,50,0,100,50,0.0,0.0,182.88,182.88,77.11,77.11,187.96,193.04,Orthodox,Orthodox
Submission,Chris Tognoni,flyweight,f1,Erin Blanchfield,JJ Aldrich,6.29,4.19,48.0,45.07,4.19,6.29,54.93,52.0,0.0,3.93,0,33,67,100,0.13,0.0,162.56,165.1,56.7,56.7,167.64,170.18,Orthodox,Southpaw
Decision - Split,Jason Herzog,bantamweight,f1,Ketlen Vieira,Holly Holm,3.4,3.84,56.29,61.15,3.84,3.4,38.85,43.71,0.6,0.0,14,0,100,86,0.04,0.0,172.72,172.72,61.23,61.23,172.72,175.26,Orthodox,Southpaw
Decision - Split,Herb Dean,welterweight,f1,Michel Pereira,Santiago Ponzinibbio,7.33,7.0,50.93,47.73,7.0,7.33,52.27,49.07,0.0,1.0,0,25,75,100,0.0,0.0,185.42,182.88,83.91,77.11,185.42,185.42,Orthodox,Orthodox
KO/TKO,Mark Smith,middleweight,f1,Chidi Njokuani,Dusko Todorovic,2.92,1.04,82.35,71.43,1.04,2.92,28.57,17.65,0.0,6.25,0,28,72,100,0.21,0.0,190.5,185.42,77.11,83.91,203.2,187.96,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,strawweight,f1,Tabatha Ricci,Polyana Viana,2.2,2.4,45.21,37.11,2.4,2.2,62.89,54.79,5.0,0.0,50,0,100,50,0.0,0.0,154.94,165.1,52.16,52.16,154.94,170.18,Orthodox,Orthodox
Decision - Split,Jason Herzog,middleweight,f1,JunYong Park,Eryk Anders,7.0,4.33,57.07,45.77,4.33,7.0,54.23,42.93,0.0,3.0,0,12,88,100,0.0,0.0,177.8,185.42,83.91,83.91,185.42,190.5,Orthodox,Southpaw
Submission,Herb Dean,middleweight,f1,Joseph Holmes,Alen Amedovski,15.0,0.94,69.57,12.5,0.94,15.0,87.5,30.43,14.06,0.0,100,0,100,0,0.94,0.0,193.04,177.8,83.91,83.91,203.2,187.96,Orthodox,Orthodox
Submission,Mark Smith,heavyweight,f1,Jailton Almeida,Parker Porter,3.93,0.0,52.94,0,0.0,3.93,0,47.06,3.27,0.0,50,0,100,50,0.22,0.0,190.5,182.88,92.99,120.2,200.66,190.5,Orthodox,Orthodox
KO/TKO,Chris Tognoni,lightweight,f1,Uros Medic,Omar Morales,5.81,4.08,54.65,38.82,4.08,5.81,61.18,45.35,0.0,0.0,0,0,100,100,0.0,0.0,185.42,180.34,77.11,70.31,180.34,185.42,Southpaw,Orthodox
Decision - Unanimous,Herb Dean,bantamweight,f1,Jonathan Martinez,Vince Morales,5.87,3.4,57.14,33.33,3.4,5.87,66.67,42.86,2.0,0.0,100,0,100,0,0.0,0.0,172.72,175.26,61.23,61.23,177.8,177.8,Southpaw,Orthodox
KO/TKO,Mark Smith,featherweight,f1,Chase Hooper,Felipe Colares,4.62,1.62,64.52,91.3,1.62,4.62,8.7,35.48,4.62,2.31,57,50,50,43,0.23,0.0,185.42,172.72,70.31,65.77,187.96,175.26,Southpaw,Orthodox
KO/TKO,Chris Tognoni,strawweight,f1,Sam Hughes,Elise Reed,3.1,1.23,66.15,41.46,1.23,3.1,58.54,33.85,4.33,0.0,57,0,100,43,0.0,0.0,165.1,160.02,52.16,52.16,162.56,160.02,Orthodox,Orthodox
KO/TKO,Mark Smith,light heavyweight,f1,Jan Blachowicz,Aleksandar Rakic,2.77,2.41,43.66,31.76,2.41,2.77,68.24,56.34,0.0,1.34,0,25,75,100,0.09,0.0,187.96,193.04,92.99,92.99,198.12,198.12,Orthodox,Orthodox
Submission,Herb Dean,light heavyweight,f1,Ryan Spann,Ion Cutelaba,1.69,0.85,36.36,22.22,0.85,1.69,77.78,63.64,0.0,19.01,0,100,0,100,0.42,0.0,195.58,185.42,92.99,92.99,200.66,190.5,Orthodox,Southpaw
KO/TKO,Mike Beltran,bantamweight,f1,Davey Grant,Louis Smolka,7.49,6.56,41.12,51.08,6.56,7.49,48.92,58.88,0.0,0.0,0,0,100,100,0.0,0.0,172.72,175.26,61.23,61.23,175.26,172.72,Orthodox,Orthodox
Decision - Split,Chris Tognoni,flyweight,f1,Katlyn Cerminara,Amanda Ribas,4.2,3.67,28.38,32.54,3.67,4.2,67.46,71.62,0.0,3.0,0,50,50,100,0.0,0.0,175.26,160.02,56.7,56.7,172.72,167.64,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Manuel Torres,Frank Camacho,9.86,4.64,53.12,51.61,4.64,9.86,48.39,46.88,0.0,0.0,0,0,100,100,0.0,0.0,177.8,177.8,70.31,70.31,185.42,185.42,Switch,Orthodox
Decision - Unanimous,Mike Beltran,flyweight,f1,Allan Nascimento,Jake Hadley,1.27,0.53,36.54,27.59,0.53,1.27,72.41,63.46,2.0,0.0,50,0,100,50,0.0,0.07,172.72,170.18,56.7,56.7,175.26,177.8,Orthodox,Southpaw
Decision - Unanimous,Chris Tognoni,flyweight,f1,Viviane Araujo,Andrea Lee,2.6,3.13,49.37,57.32,3.13,2.6,42.68,50.63,3.0,1.0,60,50,50,40,0.13,0.0,162.56,167.64,56.7,56.7,172.72,175.26,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Michael Johnson,Alan Patrick,3.59,2.63,62.5,46.81,2.63,3.59,53.19,37.5,1.79,0.0,100,0,100,0,0.0,0.0,177.8,180.34,70.31,70.31,185.42,187.96,Southpaw,Southpaw
Decision - Unanimous,Mark Smith,strawweight,f1,Virna Jandiroba,Angela Hill,0.93,1.4,23.33,38.18,1.4,0.93,61.82,76.67,3.0,1.0,37,50,50,63,0.0,0.0,160.02,160.02,52.16,52.16,162.56,162.56,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,flyweight,f1,Tatsuro Taira,Carlos Candelario,3.8,0.6,65.52,26.47,0.6,3.8,73.53,34.48,1.0,2.0,20,40,60,80,0.2,0.07,170.18,172.72,56.7,56.7,177.8,172.72,Orthodox,Southpaw
Submission,Chris Tognoni,middleweight,f1,Andre Petroski,Nick Maximov,0.79,3.16,10.0,36.36,3.16,0.79,63.64,90.0,0.0,0.0,0,0,100,100,0.79,0.0,182.88,182.88,83.91,83.91,185.42,193.04,Switch,Southpaw
Submission,Marc Goddard,lightweight,f1,Charles Oliveira,Justin Gaethje,8.91,6.24,63.83,63.64,6.24,8.91,36.36,36.17,0.0,0.0,0,0,100,100,0.59,0.0,177.8,180.34,70.31,70.31,187.96,177.8,Orthodox,Orthodox
Decision - Split,Keith Peterson,strawweight,f1,Carla Esparza,Rose Namajunas,1.2,1.48,22.56,27.21,1.48,1.2,72.79,77.44,1.2,0.6,18,100,0,82,0.0,0.0,154.94,165.1,52.16,56.7,160.02,165.1,Orthodox,Orthodox
KO/TKO,Jason Herzog,lightweight,f1,Michael Chandler,Tony Ferguson,5.11,3.79,50.94,40.0,3.79,5.11,60.0,49.06,2.84,0.0,100,0,100,0,0.0,0.0,172.72,180.34,70.31,70.31,180.34,193.04,Orthodox,Orthodox
Decision - Split,Marc Goddard,light heavyweight,f1,Ovince Saint Preux,Mauricio Rua,4.13,3.6,55.36,54.55,3.6,4.13,45.45,44.64,0.0,0.0,0,0,100,100,0.0,0.0,190.5,185.42,92.99,92.99,203.2,193.04,Southpaw,Orthodox
Decision - Split,Jason Herzog,welterweight,f1,Randy Brown,Khaos Williams,6.2,5.0,52.54,33.48,5.0,6.2,66.52,47.46,0.0,0.0,0,0,100,100,0.0,0.0,190.5,182.88,77.11,77.11,198.12,195.58,Orthodox,Orthodox
Decision - Unanimous,Ryan Brueggeman,welterweight,f1,Francisco Trinaldo,Danny Roberts,5.33,2.4,64.52,30.51,2.4,5.33,69.49,35.48,0.0,0.0,0,0,100,100,0.07,0.0,175.26,185.42,77.11,77.11,177.8,187.96,Southpaw,Southpaw
Decision - Split,Keith Peterson,featherweight,f1,Macy Chiasson,Norma Dumont,2.13,2.53,35.96,50.67,2.53,2.13,49.33,64.04,6.0,0.0,50,0,100,50,0.0,0.0,180.34,170.18,61.23,61.23,182.88,170.18,Orthodox,Orthodox
Submission,Ryan Brueggeman,flyweight,f1,Brandon Royval,Matt Schnell,6.27,5.37,35.9,36.36,5.37,6.27,63.64,64.1,0.0,0.0,0,0,100,100,0.45,0.0,175.26,172.72,56.7,56.7,172.72,177.8,Southpaw,Orthodox
Decision - Unanimous,Marc Goddard,heavyweight,f1,Blagoy Ivanov,Marcos Rogerio de Lima,4.13,4.53,48.44,51.13,4.53,4.13,48.87,51.56,0.0,1.0,0,20,80,100,0.0,0.0,180.34,185.42,113.4,114.76,185.42,190.5,Southpaw,Orthodox
KO/TKO,Marc Goddard,welterweight,f1,Andre Fialho,Cameron VanCamp,6.58,7.35,70.83,61.29,7.35,6.58,38.71,29.17,0.0,0.0,0,0,100,100,0.0,0.0,182.88,187.96,77.11,70.31,187.96,187.96,Orthodox,Switch
Decision - Unanimous,Jason Herzog,flyweight,f1,Tracy Cortez,Melissa Gatto,2.4,2.0,54.55,41.1,2.0,2.4,58.9,45.45,2.0,3.0,66,50,50,34,0.07,0.07,165.1,165.1,56.7,61.23,165.1,175.26,Orthodox,Orthodox
Decision - Split,Keith Peterson,flyweight,f1,CJ Vergara,Kleydson Rodrigues,4.73,5.4,55.91,56.64,5.4,4.73,43.36,44.09,0.0,2.0,0,28,72,100,0.0,0.07,167.64,165.1,56.7,61.23,172.72,170.18,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,strawweight,f1,Loopy Godinez,Ariane Carnelossi,3.07,0.6,75.41,45.0,0.6,3.07,55.0,24.59,8.0,0.0,100,0,100,0,0.13,0.0,157.48,157.48,52.16,52.16,154.94,154.94,Orthodox,Orthodox
Decision - Unanimous,Ryan Brueggeman,bantamweight,f1,Journey Newson,Fernie Garcia,3.8,2.47,39.86,35.92,2.47,3.8,64.08,60.14,2.0,0.0,66,0,100,34,0.0,0.0,165.1,170.18,61.23,61.23,170.18,170.18,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,bantamweight,f1,Marlon Vera,Rob Font,6.36,10.84,56.18,52.52,10.84,6.36,47.48,43.82,0.0,0.6,0,50,50,100,0.0,0.0,172.72,172.72,61.23,61.23,177.8,180.34,Switch,Orthodox
Decision - Split,Mark Smith,heavyweight,f1,Andrei Arlovski,Jake Collier,6.07,6.2,55.49,49.47,6.2,6.07,50.53,44.51,0.0,2.0,0,66,34,100,0.0,0.0,190.5,190.5,108.86,104.33,195.58,198.12,Orthodox,Orthodox
KO/TKO,Herb Dean,featherweight,f1,Joanderson Brito,Andre Fili,20.49,8.78,70.0,40.0,8.78,20.49,60.0,30.0,0.0,0.0,0,0,100,100,0.0,0.0,172.72,180.34,65.77,65.77,182.88,187.96,Orthodox,Orthodox
