method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Decision - Unanimous,Gary Copeland,bantamweight,f1,Jimmie Rivera,Urijah Faber,3.6,1.47,33.75,19.64,1.47,3.6,80.36,66.25,0.0,0.0,0,0,100,100,0.0,0.0,162.56,167.64,61.23,61.23,172.72,170.18,Orthodox,Orthodox
Submission,Jerry Poe,strawweight,f1,Jessica Andrade,Joanne Wood,4.32,2.81,71.43,50.0,2.81,4.32,50.0,28.57,6.47,0.0,66,0,100,34,0.22,0.0,154.94,167.64,52.16,56.7,157.48,165.1,Orthodox,Orthodox
Decision - Split,Marc Goddard,bantamweight,f1,Bethe Correia,Jessica Eye,3.27,3.47,32.67,26.13,3.47,3.27,73.87,67.33,0.0,0.0,0,0,100,100,0.0,0.0,165.1,167.64,61.23,56.7,162.56,167.64,Orthodox,Orthodox
Decision - Split,Keith Peterson,middleweight,f1,Brad Tavares,Caio Magalhaes,3.07,1.73,46.0,32.1,1.73,3.07,67.9,54.0,0.0,1.0,0,14,86,100,0.0,0.07,185.42,185.42,83.91,83.91,187.96,185.42,Orthodox,Orthodox
KO/TKO,Gary Copeland,lightweight,f1,Nik Lentz,Michael McBride,4.09,1.72,76.0,51.61,1.72,4.09,48.39,24.0,8.08,0.0,83,0,100,17,0.11,0.0,172.72,185.42,65.77,70.31,172.72,190.38,Orthodox,Orthodox
KO/TKO,Jerry Poe,lightweight,f1,Drew Dober,Jason Gonzalez,11.43,5.71,48.78,33.33,5.71,11.43,66.67,51.22,0.0,0.0,0,0,100,100,0.0,0.0,172.72,187.96,70.31,70.31,177.8,187.96,Southpaw,Southpaw
Submission,Marc Goddard,welterweight,f1,Yancy Medeiros,Sean Spencer,2.92,2.92,29.82,19.1,2.92,2.92,80.9,70.18,0.0,0.0,0,0,100,100,0.17,0.0,177.8,177.8,70.31,77.11,190.5,187.96,Orthodox,Orthodox
Submission,Leon Roberts,heavyweight,f1,Josh Barnett,Andrei Arlovski,4.11,2.95,64.63,61.29,2.95,4.11,38.71,35.37,1.16,1.16,50,50,50,50,0.08,0.0,190.5,190.5,113.4,108.86,198.12,195.58,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,light heavyweight,f1,Alexander Gustafsson,Jan Blachowicz,3.33,1.87,50.0,31.11,1.87,3.33,68.89,50.0,4.0,0.0,80,0,100,20,0.0,0.0,195.58,187.96,92.99,92.99,200.66,198.12,Orthodox,Orthodox
KO/TKO,Neil Hall,light heavyweight,f1,Ryan Bader,Ilir Latifi,1.83,1.27,38.24,30.0,1.27,1.83,70.0,61.76,0.0,0.0,0,0,100,100,0.0,0.0,187.96,177.8,92.99,104.33,187.96,185.42,Orthodox,Orthodox
Decision - Unanimous,Lukasz Bosacki,lightweight,f1,Nick Hein,Tae Hyun Bang,1.33,2.67,26.32,34.19,2.67,1.33,65.81,73.68,2.0,0.0,40,0,100,60,0.0,0.0,167.64,175.26,70.31,70.31,167.64,180.34,Southpaw,Switch
Decision - Split,Marc Goddard,welterweight,f1,Jessin Ayari,Jim Wallhead,4.67,3.13,40.7,34.81,3.13,4.67,65.19,59.3,0.0,0.0,0,0,100,100,0.0,0.0,182.88,177.8,70.31,77.11,185.42,182.31,Orthodox,Orthodox
Decision - Unanimous,Leon Roberts,welterweight,f1,Peter Sobotta,Nicolas Dalby,2.53,0.93,50.0,26.92,0.93,2.53,73.08,50.0,3.0,0.0,60,0,100,40,0.07,0.0,182.88,180.34,77.11,77.11,190.5,187.96,Southpaw,Orthodox
KO/TKO,Neil Hall,bantamweight,f1,Ashlee Evans-Smith,Veronica Hardy,5.72,1.8,63.48,56.1,1.8,5.72,43.9,36.52,2.35,0.0,40,0,100,60,0.0,0.0,172.72,162.56,61.23,56.7,170.18,162.56,Orthodox,Southpaw
Decision - Unanimous,Lukasz Bosacki,bantamweight,f1,Taylor Lapilus,Leandro Issa,4.2,1.27,43.15,31.15,1.27,4.2,68.85,56.85,0.0,3.0,0,21,79,100,0.0,0.0,167.64,170.18,61.23,61.23,185.42,175.26,Southpaw,Orthodox
Decision - Unanimous,Leon Roberts,middleweight,f1,Jack Hermansson,Scott Askham,5.87,2.47,56.41,34.91,2.47,5.87,65.09,43.59,1.0,0.0,16,0,100,84,0.0,0.13,185.42,190.5,83.91,83.91,195.58,190.5,Orthodox,Southpaw
Decision - Unanimous,Neil Hall,lightweight,f1,Rustam Khabilov,Leandro Silva,1.6,1.93,29.27,34.94,1.93,1.6,65.06,70.73,2.0,0.0,20,0,100,80,0.0,0.0,172.72,175.26,70.31,70.31,185.42,182.88,Orthodox,Orthodox
Submission,John McCarthy,welterweight,f1,Demian Maia,Carlos Condit,0.54,0.54,100.0,16.67,0.54,0.54,83.33,0.0,8.04,0.0,100,0,100,0,0.54,0.0,185.42,187.96,77.11,77.11,182.88,190.5,Southpaw,Orthodox
Submission,Yves Lavigne,featherweight,f1,Anthony Pettis,Charles Oliveira,4.49,3.47,60.92,47.67,3.47,4.49,52.33,39.08,0.0,5.08,0,36,64,100,0.08,0.0,177.8,177.8,70.31,70.31,182.88,187.96,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,strawweight,f1,Paige VanZant,Bec Rawlings,4.73,3.97,39.68,41.18,3.97,4.73,58.82,60.32,0.0,0.0,0,0,100,100,0.0,0.0,162.56,167.64,52.16,56.7,165.1,162.56,Orthodox,Orthodox
Decision - Split,John McCarthy,lightweight,f1,Jim Miller,Joe Lauzon,5.33,3.6,48.19,39.71,3.6,5.33,60.29,51.81,0.0,3.0,0,75,25,100,0.0,0.07,172.72,177.8,70.31,70.31,180.34,180.34,Southpaw,Orthodox
KO/TKO,Yves Lavigne,middleweight,f1,Sam Alvey,Kevin Casey,5.94,2.52,51.75,49.02,2.52,5.94,50.98,48.25,0.0,0.0,0,0,100,100,0.0,0.0,187.96,180.34,83.91,83.91,190.5,195.58,Southpaw,Southpaw
Decision - Split,Dan Miragliotta,featherweight,f1,Kyle Bochniak,Enrique Barzola,2.73,3.67,29.08,33.33,3.67,2.73,66.67,70.92,1.0,1.0,33,11,89,67,0.0,0.0,170.18,170.18,65.77,65.77,177.8,177.8,Orthodox,Orthodox
Decision - Split,Kevin Dornan,middleweight,f1,Alessio Di Chirico,Garreth McLellan,4.07,3.8,44.85,41.01,3.8,4.07,58.99,55.15,2.0,2.0,33,25,75,67,0.0,0.0,182.88,185.42,83.91,83.91,187.96,182.88,Orthodox,Southpaw
KO/TKO,John McCarthy,lightweight,f1,Felipe Silva,Shane Campbell,9.04,7.4,44.0,69.23,7.4,9.04,30.77,56.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,182.88,70.31,70.31,195.58,180.34,Orthodox,Orthodox
KO/TKO,Kevin Dornan,lightweight,f1,Chad Laprise,Thibault Gouti,10.62,2.5,48.57,25.0,2.5,10.62,75.0,51.43,0.0,0.0,0,0,100,100,0.0,0.0,177.8,177.8,77.11,70.31,180.34,182.88,Orthodox,Orthodox
Decision - Unanimous,Yves Lavigne,lightweight,f1,Jeremy Kennedy,Alex Ricci,1.8,1.87,38.03,46.67,1.87,1.8,53.33,61.97,5.0,0.0,35,0,100,65,0.0,0.0,180.34,180.34,65.77,70.31,180.34,185.0,Orthodox,Orthodox
Decision - Split,John McCarthy,welterweight,f1,Conor McGregor,Nate Diaz,6.56,6.64,57.34,48.4,6.64,6.56,51.6,42.66,0.0,0.6,0,14,86,100,0.0,0.0,175.26,182.88,70.31,77.11,187.96,193.04,Southpaw,Southpaw
KO/TKO,Dan Miragliotta,light heavyweight,f1,Anthony Johnson,Glover Teixeira,18.46,4.62,50.0,33.33,4.62,18.46,66.67,50.0,0.0,0.0,0,0,100,100,0.0,0.0,187.96,187.96,92.99,92.99,198.12,193.04,Orthodox,Orthodox
KO/TKO,Herb Dean,welterweight,f1,Donald Cerrone,Rick Story,6.4,2.42,61.64,33.33,2.42,6.4,66.67,38.36,2.13,2.13,100,20,80,0,0.14,0.0,185.42,175.26,70.31,77.11,185.42,180.34,Orthodox,Southpaw
KO/TKO,John McCarthy,welterweight,f1,Mike Perry,Hyun Gyu Lim,8.53,2.2,62.0,27.59,2.2,8.53,72.41,38.0,0.0,0.0,0,0,100,100,0.0,0.0,177.8,190.5,77.11,77.11,180.34,195.58,Orthodox,Orthodox
KO/TKO,Herb Dean,welterweight,f1,Tim Means,Sabah Homasi,8.95,4.16,60.17,41.25,4.16,8.95,58.75,39.83,0.0,3.78,0,100,0,100,0.0,0.0,187.96,182.88,77.11,77.11,190.5,182.88,Orthodox,Orthodox
KO/TKO,John McCarthy,bantamweight,f1,Cody Garbrandt,Takeya Mizugaki,15.0,5.0,44.44,44.44,5.0,15.0,55.56,55.56,0.0,0.0,0,0,100,100,0.0,0.0,172.72,170.18,61.23,61.23,165.1,175.26,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,bantamweight,f1,Raquel Pennington,Elizabeth Phillips,2.2,1.0,66.0,44.12,1.0,2.2,55.88,34.0,3.0,1.0,60,20,80,40,0.07,0.0,170.18,167.64,61.23,61.23,170.18,165.1,Orthodox,Orthodox
