name,height,weight,reach,slpm,str_acc_%,sapm,str_def_%,td_avg,td_acc_%,td_def_%,sub_avg,stance,cluster
Max Griffin,180.34,170.0,76.0,3.92,49,3.81,57,1.45,41,68,0.3,Orthodox,5
Jeremiah Wells,175.26,170.0,74.0,2.41,43,1.31,48,3.08,44,80,0.8,Unorthodox,0
Zac Pauga,187.96,205.0,76.0,4.46,62,2.73,58,0.38,7,100,0.0,Orthodox,3
Hyder Amil,175.26,145.0,70.0,4.73,54,2.16,61,0.68,33,78,2.0,Unorthodox,0
Fernie Garcia,170.18,135.0,67.0,2.04,34,3.79,48,0.28,50,50,0.6,Orthodox,2
Daniel Marcos,170.18,135.0,69.0,5.75,50,4.0,66,0.33,50,89,0.0,Orthodox,5
Aoriqileng,170.18,135.0,69.0,5.31,50,6.03,47,1.45,46,58,0.0,Orthodox,2
Nassourdine Imavov,190.5,185.0,75.0,4.53,54,3.26,61,0.87,31,76,1.5,Orthodox,0
Roman Dolidze,187.96,185.0,76.0,2.62,39,3.36,51,1.3,40,33,1.3,Orthodox,0
Drew Dober,172.72,155.0,70.0,4.34,40,4.23,51,0.71,18,56,0.1,Unorthodox,2
Randy Brown,190.5,170.0,78.0,4.37,46,3.33,54,0.78,39,74,0.5,Orthodox,5
Muslim Salikhov,180.34,170.0,70.0,3.36,51,2.94,62,1.27,40,73,0.0,Orthodox,5
Natalia Silva,162.56,125.0,65.0,4.53,44,2.1,65,0.5,28,91,0.0,Unorthodox,3
Viviane Araujo,162.56,125.0,68.0,4.11,47,4.96,56,1.76,40,78,0.6,Orthodox,5
Aliaskhab Khizriev,175.26,185.0,74.0,6.01,64,4.38,61,5.64,60,100,3.8,Unorthodox,0
Makhmud Muradov,187.96,185.0,75.0,4.21,43,2.57,61,3.03,66,77,0.2,Orthodox,5
Charles Radtke,175.26,170.0,72.0,3.29,52,3.03,54,0.76,16,100,0.0,Orthodox,3
Gilbert Urbina,190.5,170.0,75.0,5.61,57,4.61,44,3.01,44,0,0.8,Orthodox,0
Molly McCann,162.56,115.0,62.0,5.79,49,4.94,63,1.82,38,43,0.6,Orthodox,2
Diana Belbita,170.18,115.0,68.0,6.54,42,6.55,51,0.91,62,65,0.0,Orthodox,5
Azat Maksum,170.18,125.0,70.0,2.8,23,5.23,55,2.0,22,66,0.5,Unorthodox,2
Pete Rodriguez,175.26,170.0,71.0,9.28,43,12.83,42,0.0,0,100,0.0,Unorthodox,1
JeongYeong Lee,177.8,145.0,73.0,2.81,53,1.57,59,0.96,66,76,0.5,Orthodox,5
Blake Bilder,172.72,145.0,68.0,3.81,48,4.15,53,0.31,7,71,0.6,Unorthodox,2
Luana Carolina,167.64000000000001,125.0,69.0,4.63,49,3.63,49,0.38,42,76,0.6,Orthodox,5
Julija Stoliarenko,170.18,125.0,66.0,2.49,39,4.54,46,0.93,27,54,1.7,Orthodox,0
MarQuel Mederos,177.8,155.0,69.0,4.39,45,3.29,63,0.0,0,90,0.0,Orthodox,3
Landon Quinones,175.26,155.0,70.0,6.77,40,7.7,55,0.5,33,100,0.0,Unorthodox,3
Jamal Pogues,190.5,205.0,77.0,3.36,44,4.17,50,2.4,48,77,0.0,Orthodox,5
Thomas Petersen,185.42000000000002,264.0,74.0,3.79,68,3.79,46,2.84,44,100,0.7,Unorthodox,0
Dricus Du Plessis,185.42000000000002,185.0,76.0,6.49,50,4.77,55,3.0,51,40,0.8,Unorthodox,0
Sean Strickland,185.42000000000002,185.0,76.0,5.91,41,4.33,62,0.85,64,77,0.2,Orthodox,5
Raquel Pennington,170.18,135.0,67.0,4.14,52,3.29,60,0.9,27,63,0.7,Orthodox,0
Mayra Bueno Silva,167.64000000000001,135.0,66.0,3.84,57,4.86,53,0.68,38,68,1.6,Orthodox,0
Neil Magny,190.5,170.0,80.0,3.47,46,2.42,52,2.17,40,54,0.3,Orthodox,2
Mike Malott,185.42000000000002,170.0,73.0,3.83,46,3.33,52,3.04,60,16,1.0,Orthodox,0
Marc-Andre Barriault,185.42000000000002,185.0,74.0,6.19,47,5.67,52,0.22,25,67,0.1,Orthodox,2
Movsar Evloev,170.18,145.0,72.0,4.43,48,2.89,61,4.75,46,71,0.2,Orthodox,5
Arnold Allen,172.72,145.0,70.0,3.39,40,2.91,61,1.02,50,75,0.4,Unorthodox,5
Garrett Armfield,167.64000000000001,135.0,70.0,6.22,53,3.93,58,0.0,0,64,0.0,Orthodox,3
Brad Katona,167.64000000000001,135.0,64.0,4.71,49,4.98,48,1.5,27,52,0.0,Orthodox,2
Charles Jourdain,175.26,145.0,69.0,5.56,48,4.31,57,0.09,10,48,0.6,Unorthodox,2
Ramon Taveras,172.72,135.0,70.0,4.63,45,5.41,65,0.0,0,100,0.0,Unorthodox,3
Serhiy Sidey,180.34,135.0,72.0,5.16,35,4.19,56,0.0,0,0,0.0,Unorthodox,2
Gillian Robertson,165.1,115.0,63.0,2.61,46,3.12,56,2.53,43,43,1.0,Orthodox,0
Polyana Viana,165.1,115.0,67.0,2.99,40,2.65,53,0.82,33,38,1.9,Orthodox,0
Sam Patterson,190.5,170.0,78.0,2.54,38,3.41,49,1.19,100,33,3.6,Orthodox,0
Yohan Lainesse,185.42000000000002,170.0,76.0,2.22,41,3.38,58,0.94,28,72,0.5,Orthodox,2
Jasmine Jasudavicius,170.18,125.0,68.0,3.95,45,4.03,51,2.16,37,80,0.4,Orthodox,5
Priscila Cachoeira,170.18,125.0,65.0,3.76,44,7.03,43,0.15,33,65,0.0,Orthodox,2
Jimmy Flick,170.18,125.0,68.0,1.7,50,5.2,40,1.79,26,0,5.4,Orthodox,0
Malcolm Gordon,170.18,125.0,71.0,2.5,45,2.0,43,1.72,35,26,1.0,Unorthodox,0
Magomed Ankalaev,190.5,205.0,75.0,3.64,53,2.25,59,1.02,31,86,0.0,Orthodox,5
Johnny Walker,198.12,205.0,82.0,3.81,53,2.83,44,0.46,100,57,0.9,Orthodox,0
Mario Bautista,175.26,135.0,69.0,5.69,48,3.99,53,2.25,44,66,1.0,Unorthodox,0
Ricky Simon,167.64000000000001,135.0,69.0,3.01,43,3.61,61,5.49,46,76,0.4,Orthodox,5
Brunno Ferreira,177.8,185.0,72.0,5.0,50,4.17,48,1.25,16,66,0.0,Orthodox,2
Phil Hawes,182.88,185.0,77.0,5.33,59,3.72,55,2.11,34,90,0.2,Orthodox,5
Andrei Arlovski,190.5,240.0,77.0,3.78,45,3.2,57,0.38,36,76,0.2,Orthodox,5
Preston Parsons,180.34,170.0,71.0,3.83,55,3.18,51,4.3,43,80,3.1,Orthodox,0
Matthew Semelsberger,185.42000000000002,170.0,75.0,3.78,43,4.21,54,1.02,57,45,0.4,Unorthodox,2
Marcus McGhee,172.72,135.0,69.0,5.43,51,2.52,71,0.84,33,100,0.8,Orthodox,0
Gaston Bolanos,170.18,135.0,69.0,3.88,43,3.49,49,0.0,0,50,0.0,Orthodox,2
Farid Basharat,172.72,135.0,71.0,4.47,58,2.44,57,3.96,41,83,0.6,Orthodox,5
